Player,Rounds,Rating,ACS,K/D,ADR,KPR,DPR,APR,FBPR,FDPR,HS%,FBSR
 Ivy,522,1.57,306.4,1.95,192.8,1.10,0.56,0.24,0.22,0.08,35%,73%
 mwzera,3089,1.36,286.8,1.40,175.2,0.99,0.71,0.24,0.18,0.10,17%,65%
 cNed,5644,1.36,270.3,1.44,162.7,0.96,0.67,0.18,0.19,0.11,24%,65%
 something,975,1.35,283.2,1.44,175.9,1.00,0.69,0.18,0.19,0.14,22%,58%
 Jianna,410,1.35,276.7,1.38,182.7,0.91,0.66,0.35,0.15,0.07,18%,70%
 GangPin,656,1.35,264.0,1.33,164.2,0.91,0.68,0.25,0.19,0.14,25%,57%
 Keznit,2633,1.33,276.6,1.34,169.1,0.95,0.71,0.24,0.19,0.13,23%,59%
 ScreaM,4893,1.32,270.7,1.40,171.8,0.94,0.67,0.23,0.17,0.09,33%,66%
 trexx,3245,1.32,260.3,1.45,165.4,0.89,0.62,0.32,0.14,0.09,18%,61%
 Leo,4082,1.32,239.9,1.39,155.7,0.84,0.61,0.33,0.09,0.05,23%,67%
 Xander,3785,1.30,270.6,1.35,157.6,0.92,0.68,0.23,0.23,0.15,17%,60%
 duhT,394,1.30,267.3,1.25,167.1,0.94,0.75,0.18,0.23,0.14,22%,62%
 sociablEE,5112,1.29,272.5,1.29,171.5,0.93,0.72,0.22,0.20,0.13,23%,60%
 heat,2820,1.28,261.1,1.39,160.5,0.95,0.69,0.14,0.19,0.12,28%,61%
 m5,1329,1.28,259.9,1.24,160.3,0.88,0.71,0.23,0.18,0.13,24%,58%
 TenZ,5434,1.27,275.9,1.36,163.6,0.95,0.70,0.23,0.20,0.11,18%,65%
 Derke,4111,1.27,268.3,1.29,163.7,0.92,0.71,0.20,0.23,0.16,27%,58%
 Twisten,4302,1.27,266.5,1.34,167.5,0.93,0.70,0.20,0.21,0.14,26%,59%
 t3xture,1995,1.27,263.5,1.31,160.2,0.93,0.71,0.20,0.16,0.14,24%,53%
 koalanoob,8536,1.27,256.7,1.34,156.7,0.91,0.68,0.18,0.18,0.12,22%,60%
 BuZz,3028,1.27,251.8,1.33,151.8,0.88,0.66,0.20,0.18,0.14,24%,57%
 russ,4151,1.27,251.6,1.35,161.6,0.91,0.67,0.18,0.15,0.09,30%,62%
 zekken,6428,1.27,251.4,1.33,162.4,0.87,0.65,0.32,0.12,0.08,21%,60%
 kiNgg,3166,1.27,247.0,1.43,158.5,0.87,0.61,0.31,0.13,0.09,21%,61%
 Camilaaaa,361,1.27,243.4,1.30,161.5,0.80,0.61,0.45,0.12,0.07,21%,63%
 CNKa,2396,1.26,266.1,1.28,168.6,0.91,0.71,0.19,0.18,0.14,27%,57%
 Izzy,2938,1.26,263.7,1.39,161.7,0.93,0.67,0.17,0.21,0.14,23%,60%
 Daveeys,3171,1.26,261.9,1.43,167.2,0.92,0.64,0.24,0.16,0.10,26%,61%
 elllement,2943,1.26,254.6,1.39,161.0,0.91,0.65,0.21,0.17,0.10,26%,62%
 NiSMO,5345,1.26,254.3,1.31,163.6,0.89,0.68,0.26,0.15,0.10,25%,60%
 WARDELL,6237,1.26,253.7,1.52,154.3,0.92,0.60,0.15,0.17,0.07,20%,72%
 cauanzin,639,1.26,247.5,1.29,159.7,0.84,0.65,0.35,0.14,0.09,24%,62%
 Davud,2726,1.25,264.5,1.21,165.3,0.90,0.74,0.21,0.22,0.16,19%,58%
 jannyXD,3737,1.25,263.6,1.28,158.0,0.92,0.72,0.18,0.22,0.17,23%,57%
 HANN,1952,1.25,263.5,1.22,161.9,0.90,0.74,0.20,0.20,0.16,25%,56%
 yay,4237,1.25,249.7,1.34,151.5,0.88,0.66,0.20,0.18,0.11,26%,62%
 Cloud,3905,1.25,247.0,1.27,160.8,0.86,0.68,0.30,0.13,0.10,30%,57%
 Zellsis,4543,1.25,240.2,1.26,152.3,0.83,0.66,0.34,0.12,0.11,19%,53%
 Jady,3618,1.25,237.5,1.32,151.4,0.86,0.65,0.32,0.09,0.06,30%,59%
 popogachi,2094,1.25,230.5,1.15,155.4,0.76,0.66,0.43,0.08,0.07,21%,54%
 SimonD4rk,4640,1.24,263.9,1.30,162.6,0.90,0.70,0.18,0.22,0.15,20%,60%
 Alfajer,2532,1.24,258.6,1.34,168.1,0.92,0.69,0.18,0.15,0.11,31%,58%
 kAdavra,3560,1.24,246.8,1.30,154.9,0.88,0.68,0.21,0.15,0.11,26%,57%
 HomE,571,1.24,245.3,1.25,163.9,0.86,0.69,0.33,0.13,0.07,24%,64%
 thiefy,697,1.23,257.9,1.19,162.1,0.87,0.73,0.22,0.18,0.15,20%,54%
 nukkye,4367,1.23,256.4,1.33,166.2,0.87,0.66,0.26,0.14,0.11,20%,56%
 leaf,3845,1.23,253.3,1.21,157.4,0.87,0.72,0.25,0.19,0.16,23%,54%
 MaKo,2354,1.23,243.4,1.42,150.5,0.87,0.61,0.27,0.14,0.09,24%,60%
 MOLSI,5190,1.23,240.5,1.32,157.6,0.83,0.63,0.32,0.12,0.07,27%,61%
 Cryocells,6609,1.23,237.8,1.30,149.0,0.85,0.65,0.27,0.12,0.08,23%,60%
 Laz,3511,1.23,236.8,1.32,150.7,0.83,0.63,0.23,0.14,0.09,31%,61%
 Masic,3294,1.22,257.8,1.30,159.1,0.90,0.69,0.16,0.19,0.12,24%,62%
 nolan,3368,1.22,254.8,1.26,158.6,0.88,0.70,0.27,0.18,0.13,21%,59%
 Dep,3261,1.22,248.5,1.29,149.6,0.88,0.68,0.20,0.13,0.10,22%,57%
 Morita,368,1.22,248.4,1.30,160.1,0.88,0.67,0.22,0.10,0.10,22%,51%
 Neon,7062,1.22,247.7,1.35,153.0,0.87,0.65,0.19,0.19,0.12,19%,61%
 Exalt,3863,1.22,246.4,1.23,154.0,0.85,0.69,0.28,0.15,0.12,22%,56%
 SmartSeven,517,1.22,191.5,0.92,142.1,0.60,0.65,0.29,0.09,0.06,29%,60%
 qw1,3583,1.21,255.5,1.29,152.7,0.91,0.71,0.14,0.22,0.15,25%,60%
 JuW,461,1.21,253.4,1.18,164.0,0.85,0.72,0.29,0.15,0.12,19%,57%
 Asuna,6205,1.21,251.2,1.11,159.4,0.83,0.75,0.27,0.17,0.14,21%,55%
 penny,3852,1.21,247.8,1.27,153.2,0.87,0.69,0.20,0.17,0.13,20%,56%
 GabZz,1209,1.21,243.9,1.31,161.5,0.87,0.67,0.24,0.15,0.10,24%,59%
 sheydos,4543,1.21,243.9,1.42,156.7,0.87,0.61,0.23,0.11,0.07,27%,63%
 Shawn,4801,1.21,243.2,1.21,153.4,0.84,0.69,0.28,0.13,0.10,23%,57%
 hoody,4616,1.21,239.8,1.30,151.4,0.84,0.65,0.26,0.15,0.11,24%,59%
 Redkillx,617,1.21,232.6,1.10,135.5,0.74,0.67,0.21,0.14,0.09,19%,61%
 AtaKaptan,3734,1.21,224.0,1.22,142.1,0.79,0.65,0.39,0.09,0.08,27%,54%
 Drakk,1031,1.20,252.3,1.22,154.9,0.88,0.72,0.19,0.20,0.14,24%,59%
 xandfps,3166,1.20,251.5,1.19,151.0,0.86,0.72,0.21,0.19,0.12,22%,60%
 Will,6049,1.20,245.9,1.24,151.2,0.86,0.69,0.25,0.13,0.10,16%,56%
 vakk,5425,1.20,240.3,1.24,147.8,0.84,0.68,0.24,0.15,0.11,24%,59%
 isaa,3540,1.20,239.9,1.28,151.5,0.85,0.66,0.25,0.16,0.11,25%,59%
 Kanpeki,7222,1.20,234.7,1.19,145.6,0.84,0.71,0.24,0.16,0.11,22%,59%
 Critical,19824,1.20,230.5,1.18,150.4,0.79,0.67,0.34,0.10,0.08,22%,54%
 eeiu,5742,1.20,227.1,1.26,149.3,0.80,0.63,0.34,0.08,0.05,27%,59%
 jzz,966,1.19,257.9,1.17,165.7,0.89,0.76,0.15,0.20,0.15,27%,57%
 sakurai,1730,1.19,255.6,1.24,163.0,0.90,0.72,0.16,0.21,0.12,33%,64%
 B1SK,4369,1.19,251.7,1.17,154.2,0.86,0.73,0.16,0.23,0.17,25%,58%
 Anthem,1627,1.19,244.6,1.17,157.0,0.85,0.72,0.21,0.16,0.14,21%,54%
 Ccapi,566,1.19,244.4,1.26,152.6,0.86,0.68,0.25,0.12,0.09,25%,57%
 PxS,2408,1.19,243.6,1.21,155.3,0.82,0.67,0.29,0.17,0.12,15%,57%
 Brinks ,2392,1.19,242.4,1.21,153.2,0.83,0.68,0.27,0.12,0.10,21%,55%
 ardiis,4149,1.19,238.0,1.22,149.1,0.80,0.66,0.36,0.12,0.05,20%,68%
 Meiy,1727,1.19,236.8,1.21,149.1,0.84,0.70,0.26,0.14,0.10,21%,58%
 Obnoks,4233,1.19,236.8,1.23,149.5,0.84,0.68,0.26,0.11,0.09,25%,54%
 shion,2540,1.19,236.0,1.24,148.4,0.82,0.66,0.38,0.10,0.07,21%,60%
 Mazino,2598,1.19,234.1,1.25,146.1,0.81,0.65,0.34,0.11,0.09,22%,56%
 SicK,6468,1.19,228.6,1.24,145.5,0.81,0.65,0.30,0.12,0.07,24%,61%
 Anqh,368,1.19,226.7,1.21,148.3,0.83,0.68,0.30,0.10,0.07,23%,57%
 LOB,1325,1.19,222.0,1.30,145.3,0.79,0.61,0.33,0.06,0.06,25%,49%
 gobera,335,1.18,257.4,1.14,164.6,0.87,0.77,0.21,0.16,0.10,22%,61%
 Meteor,1072,1.18,252.6,1.18,153.0,0.86,0.73,0.21,0.20,0.17,21%,54%
 Fisker,2992,1.18,250.2,1.19,156.3,0.88,0.74,0.20,0.22,0.16,26%,58%
 silentzz,1700,1.18,248.5,1.16,161.2,0.88,0.75,0.21,0.14,0.11,27%,56%
 musashi,4324,1.18,247.8,1.20,153.4,0.86,0.71,0.22,0.16,0.14,25%,54%
 Mited,2329,1.18,247.6,1.23,159.2,0.86,0.70,0.24,0.14,0.10,22%,58%
 hyeoni,506,1.18,243.4,1.31,149.2,0.87,0.67,0.15,0.10,0.08,31%,55%
 Devilia,368,1.18,238.5,1.25,152.6,0.79,0.63,0.25,0.13,0.09,17%,60%
 tex,5158,1.18,238.0,1.19,152.4,0.83,0.70,0.25,0.15,0.12,30%,55%
 ROK3T,1485,1.18,236.6,1.18,147.0,0.79,0.67,0.20,0.14,0.15,21%,50%
 exy,2579,1.18,235.8,1.27,149.8,0.84,0.66,0.23,0.12,0.10,32%,55%
 marin,2199,1.18,233.5,1.13,143.3,0.81,0.71,0.22,0.17,0.15,19%,53%
 Victor,4999,1.18,233.4,1.17,147.0,0.79,0.68,0.29,0.14,0.10,22%,58%
 mada,4823,1.18,232.2,1.12,148.2,0.80,0.71,0.26,0.15,0.13,26%,53%
 Sayaplayer,2966,1.18,230.2,1.26,146.6,0.81,0.65,0.20,0.16,0.13,26%,56%
 Lakia,2327,1.18,230.1,1.26,146.5,0.80,0.64,0.30,0.11,0.09,24%,56%
 akaone,961,1.18,228.8,1.06,147.5,0.79,0.74,0.23,0.16,0.14,29%,55%
 zeithyV,1102,1.17,252.1,1.14,152.7,0.86,0.76,0.20,0.20,0.16,23%,55%
 Mempho,502,1.17,247.0,1.12,169.8,0.82,0.74,0.33,0.13,0.14,20%,49%
 polvi,4804,1.17,245.7,1.15,151.7,0.83,0.72,0.22,0.19,0.16,19%,54%
 allow,2756,1.17,244.4,1.23,150.3,0.85,0.69,0.17,0.17,0.12,24%,57%
 corey,5529,1.17,242.9,1.21,157.8,0.83,0.69,0.23,0.13,0.10,26%,57%
 antG,2391,1.17,242.3,1.15,155.6,0.84,0.73,0.28,0.13,0.12,19%,52%
 Biazik,2137,1.17,242.2,1.18,157.8,0.83,0.70,0.29,0.14,0.11,19%,55%
 tuyz,2899,1.17,239.0,1.20,147.8,0.81,0.68,0.22,0.17,0.11,24%,60%
 jcrueL,7545,1.17,238.6,1.29,145.6,0.85,0.66,0.17,0.17,0.10,19%,64%
 AslaN,4635,1.17,235.2,1.23,146.6,0.81,0.66,0.21,0.15,0.12,24%,56%
 Suggest,2761,1.17,231.6,1.29,146.3,0.82,0.63,0.25,0.12,0.09,33%,57%
 Dobsha,2611,1.17,231.1,1.34,142.7,0.83,0.62,0.16,0.15,0.09,20%,62%
 REAZY,2325,1.17,230.3,1.24,149.3,0.82,0.66,0.28,0.13,0.09,32%,59%
 c4Lypso,4198,1.17,228.8,1.23,144.8,0.82,0.66,0.21,0.11,0.06,30%,63%
 Wval,718,1.17,228.5,1.32,147.4,0.84,0.64,0.21,0.12,0.09,26%,58%
 Bdog,5626,1.17,227.5,1.25,143.9,0.82,0.66,0.24,0.12,0.09,22%,58%
 Feniz,1989,1.17,227.1,1.35,146.5,0.82,0.61,0.25,0.09,0.07,26%,57%
 nAts,4999,1.17,226.9,1.29,143.8,0.81,0.63,0.25,0.10,0.08,29%,54%
 Moe,3697,1.17,223.4,1.25,144.9,0.78,0.62,0.35,0.11,0.08,29%,57%
 HATE,1526,1.17,221.4,1.22,137.0,0.80,0.65,0.22,0.10,0.09,30%,52%
 FifTy,604,1.17,199.6,1.10,130.7,0.68,0.61,0.32,0.09,0.06,18%,60%
 Zyppan,4166,1.16,256.8,1.27,153.8,0.86,0.68,0.26,0.16,0.08,24%,66%
 WinteryRook,4059,1.16,247.5,1.12,154.7,0.82,0.74,0.27,0.17,0.14,20%,54%
 takej,6774,1.16,239.7,1.31,151.7,0.85,0.65,0.24,0.14,0.10,31%,58%
 ANDROID,5548,1.16,239.7,1.28,153.4,0.84,0.65,0.22,0.13,0.10,29%,57%
 Harmful,4108,1.16,239.1,1.16,149.4,0.85,0.73,0.16,0.19,0.15,26%,55%
 feqew,5173,1.16,238.1,1.30,153.4,0.86,0.66,0.22,0.14,0.10,26%,57%
 Paint,356,1.16,235.8,1.16,156.0,0.81,0.71,0.28,0.08,0.05,26%,60%
 Shao,4717,1.16,235.5,1.38,144.9,0.82,0.60,0.31,0.08,0.04,27%,69%
 lauress,4881,1.16,232.2,1.29,150.4,0.84,0.65,0.21,0.09,0.07,29%,55%
 Tacolillalzh,3787,1.16,231.9,1.26,143.4,0.82,0.65,0.24,0.15,0.11,19%,58%
 Brave,3235,1.16,229.3,1.18,147.2,0.81,0.69,0.27,0.12,0.10,30%,55%
 rhyme,4949,1.16,225.5,1.11,149.0,0.77,0.69,0.25,0.14,0.08,29%,63%
 Adrian,2124,1.16,224.9,1.08,138.8,0.77,0.72,0.37,0.10,0.10,17%,50%
 valyn,7640,1.16,224.2,1.18,141.3,0.79,0.67,0.30,0.10,0.08,22%,55%
 Xeppaa,1762,1.16,219.7,1.15,140.7,0.78,0.67,0.37,0.09,0.07,20%,57%
 Beast,3296,1.16,218.5,1.19,134.0,0.73,0.61,0.39,0.08,0.06,17%,56%
 cortezia,639,1.15,254.8,1.14,165.1,0.84,0.74,0.21,0.16,0.17,22%,48%
 Jonn,3340,1.15,244.2,1.20,151.8,0.86,0.72,0.21,0.16,0.14,27%,53%
 Rb,3097,1.15,238.2,1.37,143.5,0.83,0.61,0.18,0.18,0.13,24%,58%
 QutionerX,2490,1.15,237.6,1.22,148.1,0.84,0.69,0.19,0.14,0.11,25%,57%
 AsLanM4shadoW,4118,1.15,237.0,1.13,150.7,0.83,0.74,0.21,0.12,0.09,30%,59%
 HaReeee,3301,1.15,236.9,1.17,145.9,0.83,0.71,0.21,0.14,0.10,27%,60%
 dizzyLife,6289,1.15,235.9,1.29,147.3,0.83,0.64,0.22,0.16,0.12,16%,57%
 vo0kashu,3947,1.15,234.8,1.25,149.6,0.84,0.67,0.22,0.13,0.10,26%,56%
 XXiF,7216,1.15,233.1,1.29,150.9,0.82,0.64,0.25,0.13,0.09,25%,60%
 YaBoiDre,5867,1.15,232.8,1.15,152.6,0.82,0.72,0.24,0.11,0.09,27%,54%
 Sayf,4211,1.15,231.2,1.26,150.1,0.81,0.64,0.22,0.12,0.07,21%,63%
 Johnqt,2407,1.15,228.8,1.35,146.4,0.84,0.62,0.17,0.12,0.07,25%,64%
 ntk,3191,1.15,227.4,1.13,145.7,0.76,0.67,0.37,0.10,0.07,18%,59%
 iNTRO,2367,1.15,227.4,1.21,142.0,0.80,0.66,0.27,0.11,0.10,31%,52%
 JonahP,6060,1.15,224.9,1.20,146.3,0.79,0.66,0.31,0.12,0.10,26%,54%
 krain,2728,1.15,219.7,1.28,139.9,0.77,0.60,0.34,0.08,0.05,21%,63%
 jlerst,3182,1.15,217.0,1.15,140.5,0.78,0.68,0.27,0.07,0.08,27%,48%
 stax,3173,1.15,215.8,1.37,137.3,0.79,0.58,0.38,0.08,0.06,32%,57%
 LeviathanAG,5697,1.15,215.1,1.15,138.4,0.72,0.62,0.43,0.09,0.07,18%,55%
 Xuto,779,1.14,245.8,1.13,153.9,0.86,0.77,0.18,0.19,0.16,27%,53%
 NagZet,3580,1.14,245.0,1.42,148.6,0.85,0.60,0.19,0.20,0.11,20%,63%
 m1xwell,5354,1.14,243.4,1.25,146.3,0.84,0.68,0.21,0.16,0.08,22%,66%
 rubkkoide,1425,1.14,240.8,1.27,155.4,0.85,0.67,0.20,0.18,0.12,27%,60%
 sinatraa,3887,1.14,240.2,1.09,153.9,0.79,0.72,0.41,0.13,0.07,16%,64%
 Tuli,1845,1.14,239.1,1.13,151.3,0.81,0.71,0.29,0.15,0.13,21%,53%
 VPNCNP,2812,1.14,238.9,1.17,159.6,0.83,0.71,0.21,0.11,0.10,28%,53%
 GatsH,3782,1.14,238.7,1.26,146.9,0.85,0.67,0.19,0.16,0.10,16%,61%
 nzr,3445,1.14,238.0,1.45,153.4,0.83,0.57,0.34,0.07,0.05,18%,61%
 BennY,4251,1.14,237.3,1.10,152.1,0.81,0.74,0.26,0.13,0.14,23%,49%
 Cryptid,424,1.14,236.7,1.18,151.3,0.78,0.67,0.25,0.17,0.16,19%,51%
 zeek,4512,1.14,236.0,1.29,150.3,0.81,0.63,0.30,0.11,0.08,20%,59%
 alca,3549,1.14,234.3,1.09,148.7,0.80,0.73,0.29,0.14,0.13,26%,53%
 Munchkin,2788,1.14,230.7,1.20,145.6,0.79,0.66,0.25,0.15,0.12,23%,54%
 shonk,3095,1.14,228.3,1.21,147.2,0.82,0.68,0.21,0.11,0.09,33%,55%
 Shuzz,1793,1.14,225.3,1.09,138.7,0.77,0.71,0.28,0.10,0.12,25%,47%
 Andrehs,631,1.14,224.1,1.22,150.9,0.79,0.65,0.32,0.13,0.13,23%,51%
 sterben,4126,1.14,224.0,1.21,145.5,0.81,0.67,0.29,0.09,0.09,30%,50%
 MrFaliN,3584,1.14,223.0,1.17,145.9,0.74,0.63,0.38,0.08,0.06,22%,57%
 Chronicle,4663,1.14,222.1,1.25,143.2,0.77,0.62,0.32,0.09,0.07,25%,56%
 BLD,2904,1.14,221.4,1.16,143.4,0.80,0.69,0.25,0.14,0.11,30%,57%
 bang,5928,1.14,218.7,1.17,139.3,0.79,0.67,0.26,0.10,0.09,32%,54%
 crashies,4999,1.14,217.6,1.17,141.8,0.76,0.65,0.33,0.08,0.06,25%,56%
 brawk,6392,1.14,216.2,1.18,145.1,0.74,0.63,0.36,0.06,0.05,23%,59%
 skuba,4479,1.14,214.8,1.21,139.5,0.79,0.65,0.29,0.07,0.06,28%,55%
 AlKawai,301,1.14,211.4,1.17,134.2,0.75,0.64,0.44,0.05,0.07,22%,44%
 PapamoE,473,1.13,242.5,1.10,150.5,0.84,0.77,0.22,0.15,0.14,23%,53%
 scourge,7020,1.13,240.6,1.18,154.6,0.84,0.72,0.19,0.15,0.13,33%,55%
 dynamic,7381,1.13,238.0,1.18,151.2,0.84,0.71,0.18,0.17,0.14,27%,56%
 Katojin,1293,1.13,234.9,1.18,148.7,0.80,0.67,0.24,0.12,0.08,18%,59%
 ZexRow,3796,1.13,234.2,1.17,148.3,0.81,0.70,0.21,0.15,0.11,20%,57%
 mittiii,2230,1.13,234.0,1.19,140.6,0.81,0.68,0.24,0.18,0.12,17%,61%
 Doma,4994,1.13,233.6,1.18,149.1,0.82,0.69,0.24,0.12,0.10,25%,56%
 Ant,648,1.13,232.8,1.18,145.8,0.81,0.69,0.22,0.13,0.12,27%,52%
 Minty,2064,1.13,232.6,1.19,148.6,0.81,0.68,0.21,0.12,0.10,22%,54%
 ban,7325,1.13,232.6,1.14,145.4,0.82,0.72,0.21,0.16,0.13,25%,56%
 jfoeN,3586,1.13,231.1,1.20,144.3,0.80,0.66,0.30,0.15,0.12,22%,55%
 Baez,1620,1.13,230.7,1.18,142.2,0.81,0.69,0.21,0.15,0.11,30%,58%
 Dcop,7217,1.13,228.9,1.11,147.6,0.76,0.69,0.38,0.12,0.10,19%,56%
 trent,2963,1.13,227.1,1.16,149.9,0.80,0.69,0.30,0.09,0.08,28%,53%
 flabben,2832,1.13,225.7,1.27,146.5,0.80,0.63,0.23,0.11,0.08,26%,58%
 pdr,575,1.13,224.8,1.09,144.5,0.77,0.71,0.31,0.09,0.09,28%,49%
 Bufon,1248,1.13,224.8,1.13,143.8,0.76,0.68,0.28,0.13,0.13,17%,50%
 retrQ,10397,1.13,224.0,1.17,142.3,0.79,0.67,0.26,0.10,0.09,25%,53%
 karo,415,1.13,223.0,1.24,148.1,0.77,0.62,0.32,0.12,0.08,17%,60%
 paTiTek,5396,1.13,222.7,1.14,136.4,0.78,0.68,0.26,0.12,0.07,24%,64%
 JSUNG,6065,1.13,220.9,1.16,149.7,0.78,0.68,0.29,0.08,0.06,28%,57%
 bnj,2008,1.13,220.5,1.18,140.9,0.75,0.63,0.37,0.09,0.07,23%,56%
 Edudz,479,1.12,241.3,1.09,158.3,0.83,0.76,0.20,0.18,0.20,21%,46%
 MrMariachi,393,1.12,240.9,1.18,152.8,0.87,0.73,0.24,0.17,0.13,21%,57%
 Suther,2703,1.12,240.1,1.20,154.1,0.82,0.69,0.27,0.12,0.11,19%,52%
