Player,Rounds,Rating,ACS,K/D,ADR,KPR,DPR,APR,FBPR,FDPR,HS%,FBSR
 re1sxd,2217,1.07,209.1,1.13,134.4,0.75,0.66,0.28,0.08,0.09,20%,48%
 mitch,6563,1.07,205.2,1.12,132.5,0.71,0.63,0.26,0.10,0.07,18%,60%
 Derialy,2176,1.07,201.6,1.17,134.5,0.72,0.62,0.28,0.08,0.06,26%,56%
 NicoMachine,967,1.06,230.6,1.06,145.3,0.80,0.76,0.21,0.16,0.15,23%,52%
 hyjinx,5494,1.06,224.9,1.09,141.8,0.79,0.73,0.18,0.15,0.14,25%,51%
 murizzz,3603,1.06,223.1,1.09,140.4,0.78,0.71,0.22,0.15,0.14,23%,52%
 duck,7038,1.06,222.7,1.05,143.7,0.77,0.73,0.21,0.14,0.12,26%,53%
 climax,1655,1.06,221.0,1.11,140.9,0.76,0.68,0.27,0.10,0.10,20%,49%
 froz,2780,1.06,220.5,1.07,144.1,0.76,0.71,0.22,0.11,0.11,24%,51%
 rtt1,602,1.06,219.3,1.09,140.1,0.78,0.71,0.22,0.15,0.15,27%,49%
 ZaPy,2677,1.06,215.5,1.11,138.1,0.76,0.69,0.22,0.11,0.10,19%,52%
 envy,1185,1.06,214.8,1.18,138.4,0.76,0.64,0.24,0.09,0.08,22%,51%
 Made,1042,1.06,214.1,1.10,134.7,0.76,0.69,0.27,0.12,0.10,22%,56%
 Ethan,2577,1.06,213.0,1.10,136.3,0.75,0.68,0.26,0.10,0.09,23%,51%
 jeyj7y,4094,1.06,211.4,1.05,136.8,0.72,0.69,0.32,0.11,0.10,25%,51%
 Medusa,2462,1.06,211.3,1.16,136.3,0.74,0.64,0.30,0.09,0.08,26%,54%
 dazzLe,4369,1.06,211.1,1.03,136.8,0.70,0.68,0.36,0.10,0.08,20%,55%
 oitaN,2355,1.06,210.2,1.11,143.8,0.72,0.65,0.25,0.09,0.07,19%,55%
 LogaN,5004,1.06,209.0,1.25,138.3,0.75,0.60,0.18,0.09,0.06,24%,61%
 BlackWiz,850,1.06,205.9,1.10,127.8,0.73,0.67,0.27,0.10,0.08,28%,55%
 mmonch,2038,1.06,202.0,1.09,133.5,0.70,0.64,0.33,0.07,0.06,21%,55%
 xikAz,1079,1.06,200.4,1.06,130.4,0.73,0.69,0.26,0.08,0.07,21%,54%
 ozzy,3211,1.06,199.8,1.12,129.0,0.72,0.64,0.30,0.09,0.08,21%,52%
 Jonaaa6,6635,1.06,198.9,1.11,132.0,0.71,0.63,0.33,0.07,0.06,23%,54%
 JN3v1cEEEEdf,3186,1.06,198.3,1.12,127.7,0.71,0.63,0.32,0.07,0.07,25%,51%
 ryota-,2106,1.06,194.9,1.04,125.6,0.68,0.66,0.36,0.08,0.07,26%,54%
 Lawrence,1781,1.05,228.6,1.07,142.5,0.79,0.74,0.20,0.17,0.15,23%,53%
 wonderchilling,586,1.05,226.3,1.19,139.4,0.83,0.70,0.19,0.12,0.11,32%,53%
 shoqqz,584,1.05,220.2,1.02,143.3,0.76,0.74,0.22,0.15,0.12,25%,54%
 zepher,2224,1.05,220.1,1.16,135.3,0.77,0.67,0.19,0.14,0.10,21%,58%
 Pepper,2100,1.05,220.0,1.12,135.8,0.76,0.68,0.19,0.14,0.12,16%,53%
 Reformed,6277,1.05,218.1,1.03,142.4,0.76,0.74,0.24,0.10,0.10,21%,50%
 Cohburg,3071,1.05,217.0,1.11,144.6,0.78,0.70,0.22,0.11,0.10,27%,51%
 Jeong Hi,2259,1.05,216.2,1.10,133.3,0.75,0.68,0.26,0.14,0.11,18%,56%
 fzkk,3486,1.05,216.2,1.09,134.4,0.74,0.68,0.29,0.13,0.12,16%,52%
 k1Ng,3272,1.05,216.0,1.31,137.5,0.75,0.58,0.21,0.10,0.07,27%,57%
 cuda,517,1.05,215.0,1.00,140.3,0.74,0.73,0.30,0.09,0.06,18%,59%
 deigara,2107,1.05,213.1,1.06,135.9,0.73,0.69,0.29,0.12,0.11,26%,52%
 axeddy,4660,1.05,212.5,1.01,132.9,0.72,0.71,0.32,0.13,0.13,20%,49%
 MaskedPlayer,2243,1.05,207.3,1.09,135.7,0.73,0.67,0.27,0.09,0.07,26%,59%
 Anker,1264,1.05,206.7,1.11,135.5,0.73,0.66,0.25,0.07,0.05,29%,56%
 Fearoth,5732,1.05,206.5,1.10,138.6,0.69,0.63,0.36,0.07,0.05,21%,58%
 wippie,2856,1.05,206.0,1.14,134.8,0.72,0.63,0.29,0.09,0.07,20%,55%
 Retroyd,426,1.05,205.6,1.05,128.4,0.72,0.69,0.26,0.08,0.07,22%,56%
 jcStani,13982,1.05,205.0,1.03,130.8,0.73,0.70,0.28,0.10,0.08,26%,54%
 TURKO,9292,1.05,204.7,1.24,137.8,0.75,0.61,0.24,0.07,0.04,28%,63%
 Esperanza,2592,1.05,204.0,1.09,134.1,0.72,0.66,0.29,0.10,0.07,32%,58%
 Nanno,305,1.05,203.9,1.08,133.8,0.72,0.66,0.28,0.11,0.09,21%,55%
 BELKY,1347,1.05,203.7,1.13,132.9,0.73,0.65,0.27,0.08,0.09,22%,50%
 Shizue,3676,1.05,203.4,1.09,137.0,0.72,0.66,0.33,0.09,0.08,20%,52%
 Sylvan,4740,1.05,202.7,1.08,127.8,0.73,0.67,0.25,0.08,0.08,22%,51%
 Trill,5967,1.05,201.6,1.12,130.6,0.73,0.65,0.29,0.07,0.06,24%,56%
 risk,1523,1.05,199.6,1.03,126.7,0.70,0.67,0.30,0.08,0.08,22%,48%
 fiziq,6649,1.05,199.3,1.02,133.6,0.68,0.67,0.32,0.07,0.06,24%,53%
 AvovA,4472,1.05,198.1,1.16,125.4,0.72,0.62,0.29,0.08,0.08,25%,48%
